CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.312500 1556662702.7775
MEM 15.902344 1556662702.8800
MEM 25.476562 1556662702.9805
MEM 36.132812 1556662703.0846
MEM 46.433594 1556662703.1897
MEM 57.406250 1556662703.2942
MEM 70.679688 1556662703.3966
MEM 77.582031 1556662703.5018
MEM 135.035156 1556662703.6070
MEM 260.210938 1556662703.7113
MEM 184.164062 1556662703.8134
MEM 117.343750 1556662703.9138
MEM 260.214844 1556662704.0169
MEM 240.625000 1556662704.1221
MEM 179.714844 1556662704.2273
MEM 116.820312 1556662704.3300
MEM 260.218750 1556662704.4328
MEM 224.195312 1556662704.5330
MEM 154.800781 1556662704.6336
MEM 107.628906 1556662704.7368
MEM 260.222656 1556662704.8373
MEM 211.417969 1556662704.9380
MEM 144.699219 1556662705.0429
MEM 107.636719 1556662705.1480
MEM 260.226562 1556662705.2502
MEM 209.554688 1556662705.3555
MEM 129.136719 1556662705.4558
MEM 260.226562 1556662705.5610
MEM 246.246094 1556662705.6634
MEM 173.042969 1556662705.7681
MEM 108.742188 1556662705.8689
