CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.304688 1556662514.8456
MEM 12.457031 1556662514.9467
MEM 22.156250 1556662515.0471
MEM 25.355469 1556662515.1496
MEM 32.242188 1556662515.2516
MEM 37.507812 1556662515.3526
MEM 41.914062 1556662515.4543
MEM 47.886719 1556662515.5552
MEM 54.593750 1556662515.6558
MEM 58.843750 1556662515.7562
MEM 62.316406 1556662515.8565
MEM 68.402344 1556662515.9569
MEM 72.031250 1556662516.0585
MEM 74.601562 1556662516.1588
MEM 77.253906 1556662516.2616
MEM 86.769531 1556662516.3621
MEM 87.441406 1556662516.4640
MEM 174.386719 1556662516.5665
MEM 260.515625 1556662516.6669
MEM 159.121094 1556662516.7699
MEM 107.941406 1556662516.8703
MEM 260.535156 1556662516.9711
MEM 176.738281 1556662517.0723
MEM 107.945312 1556662517.1726
MEM 260.539062 1556662517.2759
MEM 194.058594 1556662517.3783
MEM 117.992188 1556662517.4795
MEM 260.542969 1556662517.5797
MEM 224.855469 1556662517.6801
MEM 138.867188 1556662517.7820
MEM 132.542969 1556662517.8838
MEM 241.316406 1556662517.9855
MEM 148.800781 1556662518.0871
MEM 107.957031 1556662518.1904
MEM 260.546875 1556662518.2947
MEM 186.792969 1556662518.3951
MEM 107.957031 1556662518.4962
MEM 260.546875 1556662518.5975
MEM 211.777344 1556662518.6996
MEM 128.382812 1556662518.8031
MEM 173.500000 1556662518.9067
MEM 241.902344 1556662519.0073
MEM 164.343750 1556662519.1113
MEM 107.960938 1556662519.2117
MEM 260.550781 1556662519.3141
MEM 190.187500 1556662519.4193
MEM 107.960938 1556662519.5205
MEM 260.550781 1556662519.6215
MEM 222.984375 1556662519.7238
MEM 143.988281 1556662519.8282
MEM 107.960938 1556662519.9322
MEM 260.550781 1556662520.0348
MEM 184.910156 1556662520.1377
MEM 109.062500 1556662520.2388
MEM 260.550781 1556662520.3440
MEM 212.957031 1556662520.4448
MEM 127.878906 1556662520.5452
MEM 151.500000 1556662520.6468
MEM 243.554688 1556662520.7473
MEM 162.085938 1556662520.8507
MEM 107.960938 1556662520.9530
MEM 260.550781 1556662521.0544
MEM 199.589844 1556662521.1569
MEM 115.457031 1556662521.2605
MEM 260.550781 1556662521.3616
MEM 219.839844 1556662521.4619
MEM 147.152344 1556662521.5671
MEM 107.902344 1556662521.6685
MEM 260.492188 1556662521.7737
MEM 194.433594 1556662521.8783
MEM 108.640625 1556662521.9796
MEM 260.492188 1556662522.0815
MEM 195.792969 1556662522.1817
MEM 108.976562 1556662522.2819
MEM 260.496094 1556662522.3828
MEM 214.742188 1556662522.4866
MEM 130.875000 1556662522.5877
MEM 151.449219 1556662522.6886
MEM 239.015625 1556662522.7919
MEM 163.894531 1556662522.8949
MEM 107.910156 1556662522.9979
MEM 260.500000 1556662523.1031
MEM 202.550781 1556662523.2040
MEM 123.429688 1556662523.3076
MEM 260.500000 1556662523.4098
MEM 239.546875 1556662523.5117
MEM 167.285156 1556662523.6168
MEM 108.230469 1556662523.7188
MEM 260.500000 1556662523.8233
MEM 215.574219 1556662523.9283
MEM 124.359375 1556662524.0286
