CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.296875 1556662413.3475
MEM 11.503906 1556662413.4478
MEM 20.339844 1556662413.5480
MEM 25.222656 1556662413.6492
MEM 26.886719 1556662413.7503
MEM 35.402344 1556662413.8508
MEM 38.433594 1556662413.9511
MEM 43.121094 1556662414.0514
MEM 49.390625 1556662414.1567
MEM 55.312500 1556662414.2571
MEM 58.992188 1556662414.3574
MEM 62.292969 1556662414.4615
MEM 67.988281 1556662414.5634
MEM 72.171875 1556662414.6669
MEM 74.859375 1556662414.7671
MEM 77.406250 1556662414.8676
MEM 86.781250 1556662414.9728
MEM 90.343750 1556662415.0753
MEM 161.093750 1556662415.1775
MEM 188.527344 1556662415.2827
MEM 229.300781 1556662415.3838
MEM 151.585938 1556662415.4858
MEM 107.000000 1556662415.5880
MEM 259.593750 1556662415.6913
MEM 185.316406 1556662415.7956
MEM 105.363281 1556662415.8987
