CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.300781 1556662712.1236
MEM 15.210938 1556662712.2275
MEM 25.210938 1556662712.3297
MEM 33.121094 1556662712.4311
MEM 42.238281 1556662712.5320
MEM 52.613281 1556662712.6372
MEM 60.800781 1556662712.7415
MEM 70.816406 1556662712.8467
MEM 76.160156 1556662712.9519
MEM 86.847656 1556662713.0530
MEM 260.273438 1556662713.1570
MEM 206.695312 1556662713.2622
MEM 142.058594 1556662713.3634
MEM 107.683594 1556662713.4645
MEM 260.273438 1556662713.5672
MEM 206.816406 1556662713.6681
MEM 142.648438 1556662713.7733
MEM 107.683594 1556662713.8759
MEM 260.273438 1556662713.9801
MEM 209.535156 1556662714.0853
MEM 145.820312 1556662714.1905
MEM 107.683594 1556662714.2931
MEM 260.273438 1556662714.3967
MEM 215.550781 1556662714.5005
MEM 144.121094 1556662714.6057
MEM 145.433594 1556662714.7059
MEM 145.828125 1556662714.8066
MEM 260.273438 1556662714.9075
MEM 107.683594 1556662715.0088
MEM 235.679688 1556662715.1112
MEM 166.863281 1556662715.2134
MEM 107.683594 1556662715.3137
MEM 260.273438 1556662715.4189
MEM 255.898438 1556662715.5241
MEM 201.652344 1556662715.6293
MEM 138.566406 1556662715.7312
MEM 107.683594 1556662715.8352
MEM 260.273438 1556662715.9390
MEM 233.089844 1556662716.0435
MEM 167.378906 1556662716.1442
MEM 108.527344 1556662716.2468
MEM 260.273438 1556662716.3512
MEM 260.273438 1556662716.4562
MEM 191.621094 1556662716.5580
MEM 133.261719 1556662716.6633
MEM 132.273438 1556662716.7645
MEM 260.273438 1556662716.8657
MEM 206.972656 1556662716.9679
MEM 146.933594 1556662717.0725
MEM 107.683594 1556662717.1730
MEM 260.273438 1556662717.2735
MEM 215.562500 1556662717.3751
MEM 160.386719 1556662717.4792
MEM 108.785156 1556662717.5802
MEM 260.273438 1556662717.6805
MEM 240.730469 1556662717.7857
MEM 186.140625 1556662717.8897
MEM 126.488281 1556662717.9921
MEM 132.273438 1556662718.0968
MEM 260.273438 1556662718.1979
MEM 211.800781 1556662718.3031
MEM 149.718750 1556662718.4037
MEM 107.632812 1556662718.5041
MEM 260.222656 1556662718.6063
MEM 209.996094 1556662718.7071
MEM 144.175781 1556662718.8080
MEM 107.632812 1556662718.9103
MEM 260.222656 1556662719.0107
MEM 221.156250 1556662719.1135
MEM 166.230469 1556662719.2187
MEM 115.269531 1556662719.3231
MEM 260.222656 1556662719.4262
MEM 255.898438 1556662719.5302
MEM 191.113281 1556662719.6312
MEM 125.386719 1556662719.7325
MEM 132.222656 1556662719.8349
MEM 260.222656 1556662719.9358
MEM 197.015625 1556662720.0398
MEM 130.011719 1556662720.1402
MEM 132.222656 1556662720.2446
MEM 260.222656 1556662720.3468
MEM 211.746094 1556662720.4470
MEM 154.089844 1556662720.5523
MEM 107.644531 1556662720.6527
MEM 260.222656 1556662720.7565
MEM 237.300781 1556662720.8568
MEM 187.398438 1556662720.9613
MEM 127.078125 1556662721.0645
MEM 132.222656 1556662721.1698
MEM 260.222656 1556662721.2735
MEM 217.906250 1556662721.3787
MEM 158.019531 1556662721.4802
MEM 108.734375 1556662721.5806
MEM 260.222656 1556662721.6822
MEM 232.699219 1556662721.7875
MEM 179.378906 1556662721.8902
MEM 117.371094 1556662721.9907
MEM 213.382812 1556662722.0945
MEM 255.746094 1556662722.1968
MEM 185.777344 1556662722.2979
MEM 127.593750 1556662722.4031
MEM 132.222656 1556662722.5069
MEM 260.222656 1556662722.6137
MEM 217.675781 1556662722.7165
MEM 157.507812 1556662722.8217
MEM 108.734375 1556662722.9262
MEM 260.222656 1556662723.0279
MEM 242.953125 1556662723.1302
MEM 176.183594 1556662723.2313
MEM 121.789062 1556662723.3365
MEM 260.222656 1556662723.4372
MEM 194.218750 1556662723.5377
MEM 183.382812 1556662723.6430
MEM 256.191406 1556662723.7469
MEM 197.761719 1556662723.8521
MEM 133.007812 1556662723.9535
MEM 132.214844 1556662724.0563
MEM 260.214844 1556662724.1603
MEM 219.929688 1556662724.2635
MEM 156.148438 1556662724.3647
MEM 108.726562 1556662724.4699
MEM 260.214844 1556662724.5735
MEM 248.492188 1556662724.6778
MEM 182.722656 1556662724.7802
MEM 130.906250 1556662724.8840
MEM 107.625000 1556662724.9892
MEM 260.214844 1556662725.0944
MEM 219.742188 1556662725.1979
MEM 168.695312 1556662725.3031
MEM 108.726562 1556662725.4037
MEM 260.214844 1556662725.5070
MEM 252.300781 1556662725.6122
MEM 176.292969 1556662725.7136
MEM 110.785156 1556662725.8149
MEM 260.214844 1556662725.9201
MEM 257.277344 1556662726.0253
MEM 192.132812 1556662726.1302
MEM 122.523438 1556662726.2315
MEM 161.375000 1556662726.3357
MEM 260.214844 1556662726.4409
MEM 205.125000 1556662726.5461
MEM 132.136719 1556662726.6469
MEM 132.214844 1556662726.7521
