CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.304688 1556662783.9733
MEM 16.699219 1556662784.0770
MEM 25.464844 1556662784.1821
MEM 37.027344 1556662784.2873
MEM 48.101562 1556662784.3888
MEM 58.632812 1556662784.4936
MEM 71.140625 1556662784.5962
MEM 77.808594 1556662784.6964
MEM 133.300781 1556662784.7991
MEM 132.253906 1556662784.9013
MEM 260.253906 1556662785.0017
MEM 196.464844 1556662785.1069
MEM 131.464844 1556662785.2103
MEM 128.070312 1556662785.3149
MEM 260.253906 1556662785.4202
MEM 219.410156 1556662785.5254
MEM 149.796875 1556662785.6270
MEM 107.664062 1556662785.7272
MEM 260.253906 1556662785.8296
MEM 215.808594 1556662785.9300
MEM 156.445312 1556662786.0353
MEM 107.664062 1556662786.1359
MEM 260.253906 1556662786.2391
MEM 222.960938 1556662786.3444
MEM 161.601562 1556662786.4492
MEM 107.664062 1556662786.5544
MEM 260.253906 1556662786.6565
MEM 250.226562 1556662786.7602
MEM 176.953125 1556662786.8606
MEM 112.890625 1556662786.9629
MEM 260.253906 1556662787.0682
MEM 246.496094 1556662787.1704
MEM 182.683594 1556662787.2756
MEM 117.562500 1556662787.3770
MEM 132.253906 1556662787.4822
MEM 260.253906 1556662787.5875
MEM 208.164062 1556662787.6921
MEM 142.304688 1556662787.7949
MEM 107.664062 1556662787.8955
MEM 260.253906 1556662787.9962
MEM 207.886719 1556662788.0991
MEM 147.015625 1556662788.2044
MEM 107.664062 1556662788.3053
MEM 260.253906 1556662788.4103
MEM 242.921875 1556662788.5155
MEM 183.464844 1556662788.6186
MEM 119.417969 1556662788.7217
MEM 216.070312 1556662788.8269
MEM 260.253906 1556662788.9310
MEM 199.457031 1556662789.0315
MEM 143.687500 1556662789.1367
MEM 107.664062 1556662789.2404
MEM 260.253906 1556662789.3437
MEM 235.808594 1556662789.4478
MEM 181.203125 1556662789.5530
MEM 120.304688 1556662789.6583
MEM 260.253906 1556662789.7613
MEM 260.253906 1556662789.8630
MEM 201.023438 1556662789.9682
MEM 141.980469 1556662790.0730
MEM 107.605469 1556662790.1763
MEM 260.195312 1556662790.2771
MEM 232.062500 1556662790.3822
MEM 167.015625 1556662790.4829
MEM 108.582031 1556662790.5868
MEM 260.195312 1556662790.6886
MEM 238.167969 1556662790.7917
MEM 170.386719 1556662790.8940
MEM 107.605469 1556662790.9964
MEM 260.195312 1556662791.0989
MEM 249.320312 1556662791.2041
MEM 193.078125 1556662791.3093
MEM 121.941406 1556662791.4104
MEM 196.011719 1556662791.5107
MEM 260.195312 1556662791.6159
MEM 197.675781 1556662791.7169
MEM 133.382812 1556662791.8192
MEM 107.605469 1556662791.9245
MEM 260.195312 1556662792.0293
MEM 224.300781 1556662792.1299
MEM 158.632812 1556662792.2311
MEM 107.605469 1556662792.3321
MEM 260.195312 1556662792.4374
MEM 233.375000 1556662792.5395
MEM 180.363281 1556662792.6437
MEM 116.164062 1556662792.7440
MEM 132.195312 1556662792.8492
MEM 260.195312 1556662792.9501
MEM 209.734375 1556662793.0540
MEM 164.781250 1556662793.1592
MEM 108.707031 1556662793.2596
MEM 260.195312 1556662793.3642
MEM 260.195312 1556662793.4695
MEM 211.078125 1556662793.5747
MEM 153.957031 1556662793.6792
MEM 108.707031 1556662793.7839
MEM 260.195312 1556662793.8871
MEM 231.121094 1556662793.9883
MEM 167.253906 1556662794.0909
MEM 108.707031 1556662794.1928
MEM 260.195312 1556662794.2963
MEM 242.089844 1556662794.3965
MEM 178.820312 1556662794.4992
MEM 115.714844 1556662794.6011
MEM 258.011719 1556662794.7055
MEM 260.195312 1556662794.8104
MEM 193.132812 1556662794.9106
MEM 125.792969 1556662795.0116
MEM 132.195312 1556662795.1166
MEM 260.195312 1556662795.2169
MEM 194.144531 1556662795.3181
MEM 124.070312 1556662795.4187
MEM 132.195312 1556662795.5198
MEM 260.195312 1556662795.6250
MEM 206.855469 1556662795.7298
MEM 150.140625 1556662795.8349
MEM 107.613281 1556662795.9352
MEM 260.203125 1556662796.0404
MEM 235.070312 1556662796.1438
MEM 179.453125 1556662796.2490
MEM 120.640625 1556662796.3530
MEM 218.019531 1556662796.4545
MEM 260.203125 1556662796.5592
MEM 203.832031 1556662796.6605
MEM 140.070312 1556662796.7630
MEM 107.613281 1556662796.8654
MEM 260.203125 1556662796.9690
MEM 226.300781 1556662797.0699
MEM 169.023438 1556662797.1730
MEM 113.636719 1556662797.2771
MEM 260.019531 1556662797.3802
MEM 260.203125 1556662797.4854
MEM 207.222656 1556662797.5857
MEM 144.937500 1556662797.6893
MEM 107.613281 1556662797.7908
MEM 260.203125 1556662797.8938
MEM 224.917969 1556662797.9960
MEM 158.718750 1556662798.0964
MEM 107.691406 1556662798.1966
