CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.304688 1556662823.7500
MEM 15.878906 1556662823.8503
MEM 25.347656 1556662823.9508
MEM 35.332031 1556662824.0510
MEM 45.613281 1556662824.1517
MEM 57.039062 1556662824.2554
MEM 70.667969 1556662824.3606
MEM 77.281250 1556662824.4642
MEM 118.171875 1556662824.5650
MEM 216.675781 1556662824.6695
MEM 260.203125 1556662824.7705
MEM 197.132812 1556662824.8746
MEM 138.410156 1556662824.9798
MEM 132.203125 1556662825.0841
MEM 260.203125 1556662825.1893
MEM 221.648438 1556662825.2937
MEM 149.062500 1556662825.3951
MEM 107.613281 1556662825.5004
MEM 260.203125 1556662825.6051
MEM 219.097656 1556662825.7057
MEM 152.542969 1556662825.8076
MEM 107.613281 1556662825.9097
MEM 260.203125 1556662826.0104
MEM 226.234375 1556662826.1113
MEM 158.105469 1556662826.2135
MEM 108.714844 1556662826.3161
MEM 260.203125 1556662826.4168
MEM 233.414062 1556662826.5175
MEM 168.152344 1556662826.6195
MEM 108.246094 1556662826.7215
MEM 260.203125 1556662826.8257
MEM 249.468750 1556662826.9286
MEM 182.417969 1556662827.0294
MEM 121.164062 1556662827.1336
MEM 132.203125 1556662827.2388
MEM 259.933594 1556662827.3392
MEM 196.390625 1556662827.4444
MEM 139.453125 1556662827.5496
MEM 107.613281 1556662827.6508
MEM 260.203125 1556662827.7560
MEM 209.566406 1556662827.8595
MEM 145.277344 1556662827.9648
MEM 107.613281 1556662828.0669
MEM 260.203125 1556662828.1722
MEM 223.242188 1556662828.2774
MEM 151.375000 1556662828.3776
MEM 107.613281 1556662828.4790
MEM 260.203125 1556662828.5808
MEM 215.007812 1556662828.6818
MEM 145.832031 1556662828.7843
MEM 107.613281 1556662828.8860
MEM 260.203125 1556662828.9913
MEM 225.128906 1556662829.0932
MEM 164.214844 1556662829.1984
MEM 108.714844 1556662829.3003
MEM 260.203125 1556662829.4032
MEM 233.140625 1556662829.5037
MEM 165.277344 1556662829.6051
MEM 107.554688 1556662829.7071
MEM 260.144531 1556662829.8088
MEM 229.007812 1556662829.9103
MEM 170.484375 1556662830.0151
MEM 107.554688 1556662830.1153
MEM 260.144531 1556662830.2175
MEM 244.691406 1556662830.3177
MEM 179.144531 1556662830.4186
MEM 117.925781 1556662830.5192
MEM 236.617188 1556662830.6208
MEM 253.054688 1556662830.7231
MEM 186.410156 1556662830.8256
MEM 126.085938 1556662830.9282
MEM 132.144531 1556662831.0297
MEM 260.144531 1556662831.1327
MEM 208.070312 1556662831.2375
MEM 142.289062 1556662831.3388
MEM 107.554688 1556662831.4399
MEM 260.144531 1556662831.5402
MEM 216.625000 1556662831.6455
MEM 142.250000 1556662831.7471
MEM 107.554688 1556662831.8509
MEM 260.144531 1556662831.9511
MEM 220.769531 1556662832.0537
MEM 157.019531 1556662832.1566
MEM 108.601562 1556662832.2592
MEM 260.144531 1556662832.3614
MEM 223.539062 1556662832.4639
MEM 155.351562 1556662832.5662
MEM 107.554688 1556662832.6674
MEM 260.144531 1556662832.7692
MEM 229.480469 1556662832.8734
MEM 164.273438 1556662832.9758
MEM 108.656250 1556662833.0779
MEM 260.144531 1556662833.1831
MEM 238.722656 1556662833.2842
MEM 172.183594 1556662833.3845
MEM 112.960938 1556662833.4877
MEM 260.144531 1556662833.5915
MEM 247.171875 1556662833.6919
MEM 185.003906 1556662833.7942
MEM 125.296875 1556662833.8973
MEM 132.144531 1556662833.9999
MEM 260.144531 1556662834.1003
MEM 205.511719 1556662834.2059
MEM 143.515625 1556662834.3068
MEM 107.554688 1556662834.4072
MEM 260.144531 1556662834.5116
MEM 222.000000 1556662834.6121
MEM 151.425781 1556662834.7128
MEM 107.554688 1556662834.8131
MEM 260.144531 1556662834.9175
MEM 230.855469 1556662835.0188
MEM 172.875000 1556662835.1225
MEM 109.222656 1556662835.2249
MEM 260.144531 1556662835.3260
MEM 254.550781 1556662835.4312
MEM 189.609375 1556662835.5336
MEM 128.199219 1556662835.6388
MEM 168.625000 1556662835.7396
MEM 260.152344 1556662835.8426
MEM 199.277344 1556662835.9434
MEM 138.566406 1556662836.0484
MEM 107.562500 1556662836.1509
MEM 260.152344 1556662836.2521
MEM 218.003906 1556662836.3545
MEM 160.695312 1556662836.4579
MEM 108.664062 1556662836.5593
MEM 260.152344 1556662836.6637
MEM 253.226562 1556662836.7641
MEM 192.109375 1556662836.8670
MEM 124.691406 1556662836.9680
MEM 132.152344 1556662837.0710
MEM 260.152344 1556662837.1762
MEM 222.417969 1556662837.2815
MEM 162.937500 1556662837.3842
MEM 108.664062 1556662837.4845
MEM 260.152344 1556662837.5897
MEM 236.894531 1556662837.6906
MEM 182.261719 1556662837.7959
MEM 120.808594 1556662837.8997
MEM 260.152344 1556662838.0004
