CMDLINE /usr/bin/python3 Scripts/Utils/patches.py
MEM 1.503906 1556687220.2775
MEM 22.707031 1556687220.3778
MEM 41.843750 1556687220.4782
MEM 46.296875 1556687220.5784
MEM 58.359375 1556687220.6787
MEM 75.722656 1556687220.7790
MEM 85.023438 1556687220.8793
MEM 127.851562 1556687220.9796
MEM 162.566406 1556687221.0799
MEM 174.367188 1556687221.1802
MEM 180.812500 1556687221.2805
MEM 188.347656 1556687221.3808
MEM 196.929688 1556687221.4811
MEM 204.218750 1556687221.5814
MEM 209.617188 1556687221.6817
MEM 218.347656 1556687221.7819
MEM 239.980469 1556687221.8822
MEM 256.968750 1556687221.9825
MEM 306.968750 1556687222.0829
MEM 355.039062 1556687222.1832
MEM 405.039062 1556687222.2836
MEM 455.039062 1556687222.3839
MEM 503.039062 1556687222.4843
MEM 553.039062 1556687222.5846
MEM 583.757812 1556687222.6849
MEM 583.757812 1556687222.7852
MEM 583.757812 1556687222.8855
MEM 583.757812 1556687222.9859
MEM 583.757812 1556687223.0862
MEM 583.757812 1556687223.1865
MEM 583.757812 1556687223.2868
MEM 583.757812 1556687223.3871
MEM 583.757812 1556687223.4874
MEM 583.757812 1556687223.5877
MEM 583.757812 1556687223.6880
MEM 583.757812 1556687223.7883
MEM 583.964844 1556687223.8887
MEM 243.386719 1556687223.9890
MEM 281.898438 1556687224.0893
MEM 329.898438 1556687224.1897
MEM 377.972656 1556687224.2901
MEM 427.972656 1556687224.3904
MEM 475.972656 1556687224.4907
MEM 525.972656 1556687224.5911
MEM 573.972656 1556687224.6915
MEM 583.972656 1556687224.7918
MEM 583.972656 1556687224.8921
MEM 583.972656 1556687224.9924
MEM 243.402344 1556687225.0927
MEM 283.914062 1556687225.1931
MEM 331.914062 1556687225.2934
MEM 379.984375 1556687225.3938
MEM 429.984375 1556687225.4942
MEM 477.984375 1556687225.5946
MEM 523.984375 1556687225.6949
MEM 573.984375 1556687225.7953
MEM 583.984375 1556687225.8956
MEM 583.984375 1556687225.9959
MEM 583.984375 1556687226.0963
MEM 243.414062 1556687226.1966
MEM 285.925781 1556687226.2969
MEM 335.925781 1556687226.3973
MEM 383.992188 1556687226.4976
MEM 433.992188 1556687226.5980
MEM 481.992188 1556687226.6984
MEM 529.992188 1556687226.7987
MEM 579.992188 1556687226.8991
MEM 583.992188 1556687226.9994
MEM 583.992188 1556687227.0997
MEM 583.992188 1556687227.2001
MEM 243.414062 1556687227.3004
MEM 291.925781 1556687227.4007
MEM 341.925781 1556687227.5011
MEM 389.992188 1556687227.6014
MEM 437.992188 1556687227.7018
MEM 487.992188 1556687227.8021
MEM 535.992188 1556687227.9025
MEM 583.992188 1556687228.0028
MEM 583.992188 1556687228.1031
MEM 583.992188 1556687228.2034
MEM 243.417969 1556687228.3037
MEM 247.453125 1556687228.4040
MEM 286.156250 1556687228.5043
MEM 336.156250 1556687228.6047
MEM 384.156250 1556687228.7050
MEM 434.156250 1556687228.8054
MEM 482.156250 1556687228.9057
MEM 532.156250 1556687229.0061
MEM 580.156250 1556687229.1064
MEM 588.156250 1556687229.2067
MEM 588.156250 1556687229.3071
MEM 588.156250 1556687229.4074
MEM 588.156250 1556687229.5077
MEM 588.156250 1556687229.6080
MEM 588.156250 1556687229.7083
MEM 588.156250 1556687229.8086
MEM 588.156250 1556687229.9089
MEM 588.156250 1556687230.0092
MEM 588.156250 1556687230.1095
MEM 588.156250 1556687230.2098
MEM 588.156250 1556687230.3102
MEM 588.156250 1556687230.4105
MEM 247.578125 1556687230.5109
MEM 288.089844 1556687230.6112
MEM 334.089844 1556687230.7116
MEM 382.156250 1556687230.8119
MEM 432.156250 1556687230.9123
MEM 480.156250 1556687231.0126
MEM 530.156250 1556687231.1129
MEM 580.156250 1556687231.2133
MEM 588.156250 1556687231.3136
MEM 588.156250 1556687231.4139
MEM 588.183594 1556687231.5143
MEM 588.183594 1556687231.6146
MEM 247.609375 1556687231.7149
MEM 270.121094 1556687231.8152
MEM 318.121094 1556687231.9155
MEM 368.187500 1556687232.0159
MEM 416.187500 1556687232.1162
MEM 466.187500 1556687232.2166
MEM 510.187500 1556687232.3169
MEM 558.187500 1556687232.4173
MEM 588.187500 1556687232.5176
MEM 588.187500 1556687232.6180
MEM 588.187500 1556687232.7183
MEM 247.617188 1556687232.8186
MEM 278.128906 1556687232.9189
MEM 326.128906 1556687233.0193
MEM 376.195312 1556687233.1196
MEM 424.195312 1556687233.2200
MEM 474.195312 1556687233.3203
MEM 522.195312 1556687233.4207
MEM 572.195312 1556687233.5210
MEM 588.195312 1556687233.6213
MEM 588.195312 1556687233.7216
MEM 588.195312 1556687233.8220
MEM 247.617188 1556687233.9223
MEM 274.128906 1556687234.0226
MEM 322.128906 1556687234.1230
MEM 372.195312 1556687234.2233
MEM 420.195312 1556687234.3237
MEM 468.195312 1556687234.4240
MEM 514.195312 1556687234.5244
MEM 564.195312 1556687234.6247
MEM 588.195312 1556687234.7250
MEM 588.195312 1556687234.8254
MEM 588.195312 1556687234.9257
MEM 239.585938 1556687235.0260
MEM 239.101562 1556687235.1265
