CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.308594 1556662593.4604
MEM 14.941406 1556662593.5625
MEM 25.523438 1556662593.6677
MEM 35.351562 1556662593.7729
MEM 43.035156 1556662593.8753
MEM 54.578125 1556662593.9783
MEM 62.117188 1556662594.0828
MEM 71.000000 1556662594.1838
MEM 77.394531 1556662594.2890
MEM 86.875000 1556662594.3940
MEM 120.078125 1556662594.4952
MEM 260.593750 1556662594.5963
MEM 189.570312 1556662594.6971
MEM 113.414062 1556662594.7977
MEM 260.597656 1556662594.9029
MEM 244.312500 1556662595.0054
MEM 161.921875 1556662595.1072
MEM 119.148438 1556662595.2123
MEM 260.605469 1556662595.3148
MEM 185.738281 1556662595.4153
MEM 110.507812 1556662595.5160
MEM 260.605469 1556662595.6174
MEM 232.593750 1556662595.7224
MEM 159.332031 1556662595.8276
MEM 108.019531 1556662595.9291
MEM 260.609375 1556662596.0344
MEM 198.894531 1556662596.1389
MEM 109.121094 1556662596.2413
MEM 260.609375 1556662596.3438
MEM 198.078125 1556662596.4453
MEM 117.273438 1556662596.5456
MEM 260.609375 1556662596.6508
MEM 236.125000 1556662596.7512
MEM 164.496094 1556662596.8565
MEM 109.121094 1556662596.9585
MEM 260.609375 1556662597.0613
MEM 215.015625 1556662597.1625
MEM 128.406250 1556662597.2629
MEM 203.156250 1556662597.3634
MEM 249.847656 1556662597.4654
MEM 165.382812 1556662597.5688
MEM 108.023438 1556662597.6710
MEM 260.613281 1556662597.7724
