CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.304688 1556666185.7778
MEM 14.859375 1556666185.8781
MEM 24.914062 1556666185.9797
MEM 27.121094 1556666186.0825
MEM 36.558594 1556666186.1868
MEM 41.214844 1556666186.2906
MEM 49.367188 1556666186.3922
MEM 57.707031 1556666186.4926
MEM 62.699219 1556666186.5978
MEM 69.617188 1556666186.6982
MEM 73.351562 1556666186.8005
MEM 77.687500 1556666186.9012
MEM 87.011719 1556666187.0060
MEM 109.011719 1556666187.1085
MEM 187.359375 1556666187.2088
MEM 271.648438 1556666187.3112
MEM 346.511719 1556666187.4164
MEM 428.175781 1556666187.5205
MEM 489.445312 1556666187.6228
MEM 560.296875 1556666187.7231
MEM 630.898438 1556666187.8234
MEM 706.445312 1556666187.9237
MEM 512.804688 1556666188.0262
MEM 487.230469 1556666188.1300
MEM 567.230469 1556666188.2301
MEM 646.230469 1556666188.3313
MEM 722.480469 1556666188.4335
MEM 428.558594 1556666188.5369
MEM 499.585938 1556666188.6399
MEM 579.058594 1556666188.7421
MEM 658.308594 1556666188.8431
MEM 733.359375 1556666188.9434
MEM 440.562500 1556666189.0437
MEM 519.613281 1556666189.1459
MEM 607.429688 1556666189.2504
MEM 679.312500 1556666189.3506
MEM 753.312500 1556666189.4511
MEM 87.800781 1556666189.5561
