CMDLINE /usr/local/opt/python/bin/python3.7 Scripts/tmp.py
MEM 0.511719 1556666071.5972
MEM 12.636719 1556666071.6991
MEM 22.238281 1556666071.7998
MEM 25.570312 1556666071.9000
MEM 26.984375 1556666072.0051
MEM 36.433594 1556666072.1093
MEM 40.601562 1556666072.2095
MEM 47.332031 1556666072.3128
MEM 53.347656 1556666072.4134
MEM 58.523438 1556666072.5143
MEM 63.023438 1556666072.6149
MEM 70.566406 1556666072.7200
MEM 74.199219 1556666072.8203
MEM 77.781250 1556666072.9208
MEM 86.890625 1556666073.0259
MEM 116.406250 1556666073.1293
MEM 195.917969 1556666073.2296
MEM 275.171875 1556666073.3300
MEM 354.847656 1556666073.4332
MEM 428.132812 1556666073.5363
MEM 428.199219 1556666073.6366
MEM 430.218750 1556666073.7380
MEM 508.007812 1556666073.8382
MEM 583.468750 1556666073.9399
MEM 640.910156 1556666074.0446
MEM 711.058594 1556666074.1452
MEM 757.468750 1556666074.2501
MEM 428.324219 1556666074.3538
MEM 428.324219 1556666074.4581
MEM 480.976562 1556666074.5614
MEM 560.527344 1556666074.6626
MEM 643.578125 1556666074.7629
MEM 696.078125 1556666074.8632
MEM 735.332031 1556666074.9641
MEM 428.328125 1556666075.0654
MEM 428.332031 1556666075.1703
MEM 435.082031 1556666075.2713
MEM 519.332031 1556666075.3759
MEM 602.332031 1556666075.4785
MEM 673.824219 1556666075.5803
MEM 743.574219 1556666075.6819
MEM 428.324219 1556666075.7864
MEM 428.386719 1556666075.8873
MEM 467.597656 1556666075.9884
MEM 550.332031 1556666076.0889
MEM 626.890625 1556666076.1909
MEM 695.390625 1556666076.2927
MEM 746.671875 1556666076.3946
MEM 410.421875 1556666076.4998
MEM 410.421875 1556666076.6008
MEM 81.136719 1556666076.7052
